iter	MAE
0	0.4697461889
1	0.4633787589
2	0.457161551
3	0.4511204608
4	0.4452732528
5	0.4395752339
6	0.4338564683
7	0.428418439
8	0.4231863626
9	0.4180610426
10	0.4130808936
11	0.4081289347
12	0.4033013081
13	0.398686074
14	0.3941867641
15	0.3898110803
16	0.3854179301
17	0.3812956832
18	0.3772188588
19	0.373193973
20	0.369252739
21	0.3653120909
22	0.3615456583
23	0.3578258189
24	0.3543766518
25	0.3509547125
26	0.3474629737
27	0.344075521
28	0.3408827191
29	0.3377303624
30	0.3345866261
31	0.3315816874
32	0.3286163837
33	0.3258204314
34	0.3230206265
35	0.3202534357
36	0.3175899903
37	0.3149761564
38	0.3123513065
39	0.309785134
40	0.3073382532
41	0.3049968883
42	0.3026809354
43	0.3004042976
44	0.2981475285
45	0.2960672149
46	0.293906633
47	0.2917893906
48	0.2897535155
49	0.2877362993
50	0.2857889682
51	0.2837998901
52	0.2819261349
53	0.2800053536
54	0.278176736
55	0.2764246887
56	0.274756448
57	0.2729713306
58	0.2713132213
59	0.2697899811
60	0.2682573276
61	0.2666262714
62	0.265076163
63	0.2635027261
64	0.262077671
65	0.2607058555
66	0.2593874246
67	0.2580239848
68	0.2567309183
69	0.2554864607
70	0.2541616606
71	0.2529981979
72	0.2518177131
73	0.2505475627
74	0.249321627
75	0.2481501182
76	0.2470187371
77	0.2458184217
78	0.2446797994
79	0.2435554483
80	0.2424585398
81	0.2414260007
82	0.2403766374
83	0.2393784954
84	0.2382828615
85	0.2372687511
86	0.2362611651
87	0.2352690831
88	0.2343107806
89	0.2334316399
90	0.2325524243
91	0.2317219527
92	0.2308443775
93	0.2299868691
94	0.2292112162
95	0.2283726716
96	0.2275781338
97	0.2267776913
98	0.2260142629
99	0.225251723
100	0.2245229546
101	0.2237796521
102	0.2230473375
103	0.2223622786
104	0.2216766889
105	0.2209772118
106	0.2202879077
107	0.2196276601
108	0.2189758393
109	0.2182691842
110	0.217582618
111	0.2169463258
112	0.2163661057
113	0.2156422664
114	0.2150631453
115	0.2145119682
116	0.2139415507
117	0.2133767316
118	0.2127475927
119	0.2122376955
120	0.211591687
121	0.2109557219
122	0.2104541825
123	0.2098489733
124	0.2093744279
125	0.2088880546
126	0.2083861466
127	0.2079197772
128	0.2074850798
129	0.206950919
130	0.2065107451
131	0.2059468835
132	0.2054810402
133	0.2050547167
134	0.2045684415
135	0.2041740226
136	0.2037479907
137	0.2033375888
138	0.2029613668
139	0.2025446986
140	0.2021494261
141	0.201645905
142	0.201245914
143	0.2008812559
144	0.2004910131
145	0.2000165961
146	0.1996178348
147	0.1991362909
148	0.1987347025
149	0.1983549781
150	0.197991657
151	0.1975462857
152	0.1971941529
153	0.1968595341
154	0.1965433121
155	0.1961657441
156	0.1958296052
157	0.195514579
158	0.1952039904
159	0.1948711007
160	0.1945586075
161	0.1941595988
162	0.1938827462
163	0.1935912335
164	0.1932726929
165	0.1929591371
166	0.1926563073
167	0.1923617388
168	0.192077195
169	0.191793653
170	0.1914586441
171	0.191166842
172	0.190797026
173	0.1904500219
174	0.1901131748
175	0.1898614474
176	0.1896010761
177	0.1893236242
